doc;page;line;year;match;prefix;gram;person;number;mood;tempus;auxiliar;g_kat;lemma;sem;status;rektion;object;obj_case;pr_obj;adverb;adverb_tmp;adverb_mod;adjunct;belebt;negation;conjunction;clause;context;phenomenon;comment;trans;translator;trans_anm
Chronicle;MS A Early;3;0;WÆS;0;3.sg.ind.prt.;3;sg;ind;prt;-;prt;wesan;;aux;;;;;;;;;;;;;ÞY GEARE ÞE #WÆS# AGAN FRAM CRISTES ACENnesse cccc| wintra ․ \& xciiii uuintra ․ þa Cerdic \& Cynric his| sunu cuom up æt Cerdices oran ․ mid v scipum .;;;This year, [when 494 years since Christ’s resurrection had passed,] came two leaders into Britain, Cerdic and Cynric his son, with five ships, at […] Cerdic's-ore.;\cite{Killings1996};
Chronicle;MS A Early;3;0;AGAN;ā;3.sg.ind.pperf.pass.;3;sg;ind;pperf;wesan;perf;āgān;motion;keep;;;;;;;;;;0;;HS;ÞY GEARE ÞE WÆS #AGAN# FRAM CRISTES ACENnesse cccc| wintra ․ \& xciiii uuintra ․ þa Cerdic \& Cynric his| sunu cuom up æt Cerdices oran ․ mid v scipum .;;;This year, [when 494 years since Christ’s resurrection had passed,] came two leaders into Britain, Cerdic and Cynric his son, with five ships, at […] Cerdic's-ore.;\cite{Killings1996};
Chronicle;MS A Early;5;0;cuom;0;3.sg.ind.prt.;3;sg;ind;prt;-;prt;cuman;motion;prc-only;;;;;;;;;;0;;HS;ÞY GEARE ÞE WÆS AGAN FRAM CRISTES ACENnesse cccc| wintra ․ \& xciiii uuintra ․ þa Cerdic \& Cynric his| sunu #cuom# up æt Cerdices oran ․ mid v scipum .;;;This year, [when 494 years since Christ’s resurrection had passed,] came two leaders into Britain, Cerdic and Cynric his son, with five ships, at […] Cerdic's-ore.;\cite{Killings1996};
Chronicle;MS A Early;6;0;wæs;0;3.sg.ind.prt.;3;sg;ind;prt;-;prt;wesan;;hidden;;;;;;;;;;;;;\&| se Cerdic #wæs# ․ Elesing ․ Elesa ․ Esling ․| Esla ․ Gewising ․ Giwis ․ Wiging ․ Wig ․ Freawining ․| Freawine ․ Friþugaring ․ Friþugar ․| Bronding ․ Brond Bældæging .;;;;\cite{Killings1996};
Chronicle;MS A Early;10;0;cuomon;0;3.pl.ind.prt.;3;pl;ind;prt;-;prt;cuman;motion;prc-only;;;;;;;;;;0;þæs;tempSatz;"Ond þæs ymb vi gear þæs þe hie up #cuomon# geeodon West| Seaxna rice , \& þæt uuærun þa ærestan cyningas| þe West Seaxna lond on Wealum geeodon ; \& he hæfde þæt| rice xvi gear , \& þa he gefor þa feng his| sunu Cynric to þam rice , \& heold xvii winter .";;;And six years after they came up here they took the West-Saxon kingdom. They were the first kings that took the West-Saxon lands in Wales and he held the kingdom for sixteen years, and when he died, his son Cynric succeeded to the kingdom and reigned for seventeen winters.;\cite{Killings1996};\eUe
Chronicle;MS A Early;10;0;geeodon;ge;3.pl.ind.prt.;3;pl;ind;prt;-;prt;gān;motion;gram;;sub;akk;;;;;;;0;;HS;"Ond þæs ymb vi gear þæs þe hie up cuomon #geeodon# West| Seaxna rice , \& þæt uuærun þa ærestan cyningas| þe West Seaxna lond on Wealum geeodon ; \& he hæfde þæt| rice xvi gear , \& þa he gefor þa feng his| sunu Cynric to þam rice , \& heold xvii winter .";;;And six years after they came up here they took the West-Saxon kingdom. They were the first kings that took the West-Saxon lands in Wales and he held the kingdom for sixteen years, and when he died, his son Cynric succeeded to the kingdom and reigned for seventeen winters.;\cite{Killings1996};\eUe
Chronicle;MS A Early;11;0;uuærun;0;3.pl.ind.prt.;3;pl;ind;prt;-;prt;wesan;;hidden;;;;;;;;;;;;;"Ond þæs ymb vi gear þæs þe hie up cuomon geeodon West| Seaxna rice , \& þæt #uuærun# þa ærestan cyningas| þe West Seaxna lond on Wealum geeodon ; \& he hæfde þæt| rice xvi gear , \& þa he gefor þa feng his| sunu Cynric to þam rice , \& heold xvii winter .";;;And six years after they came up here they took the West-Saxon kingdom. They were the first kings that took the West-Saxon lands in Wales and he held the kingdom for sixteen years, and when he died, his son Cynric succeeded to the kingdom and reigned for seventeen winters.;\cite{Killings1996};\eUe
Chronicle;MS A Early;12;0;geeodon;ge;3.pl.ind.prt.;3;pl;ind;prt;-;prt;gān;motion;gram;;sub;akk;;;;;land;unbel;0;þe;relSatz;"Ond þæs ymb vi gear þæs þe hie up cuomon geeodon West| Seaxna rice , \& þæt uuærun þa ærestan cyningas| þe West Seaxna lond on Wealum #geeodon# ; \& he hæfde þæt| rice xvi gear , \& þa he gefor þa feng his| sunu Cynric to þam rice , \& heold xvii winter .";;;And six years after they came up here they took the West-Saxon kingdom. They were the first kings that took the West-Saxon lands in Wales and he held the kingdom for sixteen years, and when he died, his son Cynric succeeded to the kingdom and reigned for seventeen winters.;\cite{Killings1996};\eUe
Chronicle;MS A Early;13;0;gefor;ge;3.sg.ind.prt.;3;sg;ind;prt;-;prt;faran;sterben;gram;;;;;;;;;;0;þā;tempSatz;"Ond þæs ymb vi gear þæs þe hie up cuomon geeodon West| Seaxna rice , \& þæt uuærun þa ærestan cyningas| þe West Seaxna lond on Wealum geeodon ; \& he hæfde þæt| rice xvi gear , \& þa he #gefor# þa feng his| sunu Cynric to þam rice , \& heold xvii winter .";;;And six years after they came up here they took the West-Saxon kingdom. They were the first kings that took the West-Saxon lands in Wales and he held the kingdom for sixteen years, and when he died, his son Cynric succeeded to the kingdom and reigned for seventeen winters.;\cite{Killings1996};\eUe
Chronicle;MS A Early;13;0;feng;0;3.sg.ind.prt.;3;sg;ind;prt;-;prt;fōn;;?;;;;tō+;;;;;unbel;0;;HS;"Ond þæs ymb vi gear þæs þe hie up cuomon geeodon West| Seaxna rice , \& þæt uuærun þa ærestan cyningas| þe West Seaxna lond on Wealum geeodon ; \& he hæfde þæt| rice xvi gear , \& þa he gefor þa #feng# his| sunu Cynric to þam rice , \& heold xvii winter .";;;And six years after they came up here they took the West-Saxon kingdom. They were the first kings that took the West-Saxon lands in Wales and he held the kingdom for sixteen years, and when he died, his son Cynric succeeded to the kingdom and reigned for seventeen winters.;\cite{Killings1996};\eUe
